Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192607,99.8,31.19,-99.99,7.12,59.72,13,28.64,4.33,22.27,18.36,-99.99,19.14,28.07,57.59,-99.99,5.78,20.8,10.35,48.56,-99.99,27.47,110.78,47.55,9.52,43.95,-99.99,-99.99,27.74,40.52,92.79,81.22,350.36,-99.99,11.21,29.37,-99.99,26.17,227.11,-99.99,35.35,68.19,1.19,46.65,10.82,14.5,31.82,22.92,9.92,24.25
192608,102.06,31.15,-99.99,6.75,60.47,14.12,29.34,6.5,22.13,19.83,-99.99,20.09,28.08,62.13,-99.99,5.79,21.3,9.5,50.39,-99.99,28.91,114.29,55.11,9.46,44.17,-99.99,-99.99,29.3,40.83,91.43,86.81,353.27,-99.99,11.81,30.47,-99.99,26.06,230.18,-99.99,37.86,69.29,0.9,46.57,11,15.17,31.65,23.56,9.33,25.51
192609,104.34,31.95,-99.99,8.58,64.03,16.5,29.1,9.29,21.18,19.29,-99.99,20.72,29.13,65.53,-99.99,6.25,22.27,10.2,51.21,-99.99,29.34,116.69,57.11,8.78,44.95,-99.99,-99.99,29.45,41.18,94.86,85.01,360.96,-99.99,11.99,31.41,-99.99,24.84,241.94,-99.99,36.82,72.35,0.95,46.11,10.94,16.97,32.46,24.47,9.36,27.21
192610,102.91,32.21,-99.99,8.92,64.42,17.88,30.58,8.83,21.23,19.03,-99.99,21.43,29.04,68.47,-99.99,6.36,22.04,8.8,51.02,-99.99,29.3,114.93,59.69,8.15,45.96,-99.99,-99.99,29.46,41.3,90.87,86.41,364.16,-99.99,12.01,32.42,-99.99,23.27,240.41,-99.99,34.77,72.18,0.88,46.15,10.8,16.46,32.66,23.72,8.89,26.16
192611,102.34,30.9,-99.99,8.62,65.08,17.62,29.01,9.31,20.14,19.03,-99.99,22.17,28.29,65.06,-99.99,6.38,21.05,8.04,48.9,-99.99,29.6,108.33,54.81,7.07,43.22,-99.99,-99.99,28.51,41.9,89.87,83.92,363.74,-99.99,12.17,31.61,-99.99,21.91,240.92,-99.99,32.8,70.07,0.74,45.03,10.33,14.52,31.26,22.33,8.79,23.94
192612,109.25,32.79,-99.99,9.25,67.68,17.62,29.52,8.4,19.91,19.35,-99.99,22.92,29.77,68.42,-99.99,6.65,21.5,8.23,50.52,-99.99,30.28,113.84,53.21,7.47,46.61,-99.99,-99.99,30.92,41.7,89.3,86.7,369.65,-99.99,12.27,32.65,-99.99,22.2,247.05,-99.99,33.91,70.84,0.78,47.72,10.73,15.3,32.38,22.49,9.24,24.87
192701,104.84,32.55,-99.99,8.88,68.97,18.06,29.59,8.12,20.24,19.28,-99.99,21.74,29.98,70.73,-99.99,7.03,21.92,8.09,52.06,-99.99,31.62,109.94,58.62,8.15,47.32,-99.99,-99.99,30.86,42.3,93.56,86.12,371.52,-99.99,12.73,33.72,-99.99,22.02,272.12,-99.99,32.34,72.91,0.85,47.91,10.8,14.9,32.87,24.28,9.09,24.29
192702,101.01,32.36,-99.99,8.83,72.95,18.38,30.1,8.22,20.99,19.06,-99.99,22.93,31.22,70.67,-99.99,7.45,21.49,7.8,51.71,-99.99,31.94,108.81,58.01,7.97,46.81,-99.99,-99.99,32.1,40.48,95.02,84.41,378.52,-99.99,13.42,33.97,-99.99,21.9,263.93,-99.99,31.29,74.7,0.7,46.5,10.95,14.1,32.61,23.83,8.8,23.33
192703,108.73,33.51,-99.99,9.96,73.45,16.88,30.82,9.07,21.78,19.55,-99.99,23.87,31.28,77.5,-99.99,8.02,22.36,8.43,53.34,-99.99,34.29,113.49,63.06,7.59,49,-99.99,-99.99,33.75,42.76,95.58,87.9,393.55,-99.99,14.21,36.29,-99.99,23.17,269.56,-99.99,32.86,78.24,0.72,47.88,11.64,15.27,32.82,24.49,8.97,23.13
192704,105.94,34.13,-99.99,8.61,77.03,15.38,31.02,8.36,21.65,19.55,-99.99,23.99,31.56,81.51,-99.99,7.55,22.88,8.65,53.82,-99.99,33.35,112.85,63.88,7.59,47.82,-99.99,-99.99,34.76,45.09,88.35,87.84,500.46,-99.99,13.55,38.01,-99.99,20.26,286.44,-99.99,29.67,79.75,0.58,47.67,11.31,13.82,35.2,23.44,8.73,23.63
192705,111.66,34.77,-99.99,8.75,80.09,15.31,29.73,8.67,21.9,20.69,-99.99,23.9,32.48,83.7,-99.99,7.54,22.7,7.9,53.49,-99.99,33.91,119.95,65.6,6.72,47.28,-99.99,-99.99,35.72,45.2,83.09,89.13,489.8,-99.99,13.6,39.81,-99.99,22.05,290.53,-99.99,30.93,80.22,0.51,49.44,11.92,13,36.29,23.56,9.43,24.84
192706,116.26,37.03,-99.99,9.77,89.13,14.19,29.89,8.54,24.03,21.35,-99.99,25.06,33.49,86.9,-99.99,8.54,26.13,7.07,55.14,-99.99,36.71,129.82,68.34,8.81,52.36,-99.99,-99.99,35.8,46.65,86.76,97,506.18,-99.99,15.84,41.68,-99.99,21.57,302.81,-99.99,32.45,85.43,0.49,50.5,12.43,14.13,40.85,24.21,10.42,24.94
192707,111.43,35.79,-99.99,10.75,88.9,11.28,27.05,10.54,21.01,18.87,-99.99,27.53,35.26,85.18,-99.99,9.02,23.8,12.95,55.02,-99.99,33.41,103.9,67.02,10.04,49.41,-99.99,-99.99,35.93,44.04,93.23,100.48,421.56,7,15.98,40.58,-99.99,23.1,319.96,-99.99,32.35,80.37,1.79,47.61,13.15,15.07,36.41,19.4,18.82,19.29
192708,118.17,37.39,-99.99,11.15,92.78,11.57,27.29,10.49,22.11,19.98,-99.99,30.68,38.3,100.03,-99.99,9.39,25.43,12.85,61.97,-99.99,36.57,119.16,76.02,9.76,55.2,-99.99,-99.99,39,44.72,95.85,105.48,437.31,7,16.31,41.6,-99.99,26.37,342,-99.99,36.06,84.82,1.98,52.3,13.74,15.58,41.27,20.14,18.95,20.61
192709,120.52,38.25,-99.99,10.7,95.94,12.24,28.92,10.56,22.07,20.26,-99.99,29.74,38.53,101.82,-99.99,9.43,25.13,12.57,64.08,-99.99,36.74,127.58,81.08,12.65,57.18,-99.99,-99.99,39.19,45.81,94.97,108.73,439.17,7.2,17.61,45.48,-99.99,22.89,340.47,-99.99,37.24,83.1,1.93,56.1,13.77,16.36,41.32,20.3,19.53,21.61
192710,128.47,40.17,-99.99,11.45,99.89,12.2,29.69,10.6,22.49,21.05,-99.99,32.12,40.33,107.56,-99.99,9.57,26.11,12.2,66.13,-99.99,38.53,126.77,86.01,14.88,58.84,-99.99,-99.99,41.41,46.41,97.92,117.36,462.04,7.1,18.78,47.43,-99.99,25.03,350.72,-99.99,38.49,86.32,2.04,60.28,14.5,16.82,44.6,20.2,20.62,21.71
192711,121.02,39.32,-99.99,11.26,99.56,12.05,29.82,10.24,22.05,8.31,-99.99,32.61,42.43,99.32,-99.99,9.33,24.84,12.18,62.3,-99.99,36.47,125.85,84.01,12.15,54.67,-99.99,-99.99,40.02,43.59,96,111.96,452.37,7.3,19.58,47.63,-99.99,24.19,324.06,-99.99,38.37,82.18,1.6,57.11,14.22,17.26,49.39,19.32,20.49,20.92
192712,128.85,42.16,-99.99,12.42,105.83,11.45,31.15,11.09,22.5,8.44,-99.99,33,44,107.31,-99.99,9.77,26.31,12.02,69.68,-99.99,40.44,140.17,88.01,14.45,59,-99.99,-99.99,43.31,46.85,99.27,118.67,465.15,6.85,21.49,50.48,-99.99,29.81,348.67,-99.99,44.66,85.05,1.58,63.8,14.6,19.28,52.9,20.94,22.02,23.01
192801,126.95,44.2,-99.99,14,105.96,10.55,31.85,11.45,24.69,8.39,-99.99,32.73,43.67,106.75,-99.99,9.97,25.86,12.75,73.39,-99.99,41.43,140.73,94.58,20.31,59.83,-99.99,-99.99,48.64,45.23,99.48,120.98,465.55,6.5,20.58,55.86,-99.99,28.33,336.75,-99.99,45.12,84.58,1.76,63.31,14.24,21.02,63.26,21.15,22.54,23.26
192802,124.55,45.63,-99.99,13.99,103.22,10.39,31.78,11.78,25.55,8.96,-99.99,33.82,44.52,105.38,-99.99,9.85,26.2,13.81,71.45,-99.99,40.87,139.31,91.46,20.61,62.02,-99.99,-99.99,47.73,42.93,97.75,127.73,466.92,6.5,21.11,57.67,-99.99,28.15,336.36,-99.99,45.62,83.27,1.74,62.64,13.99,20.54,62.77,21.46,23.89,22.46
192803,125.08,43.96,-99.99,13.25,96.42,9.5,31.7,11.73,25.4,8.7,-99.99,32.95,35.05,106.14,-99.99,9.34,26.55,14.22,69.01,-99.99,40.8,137.27,91.7,18.48,59.23,-99.99,-99.99,43.91,42.36,97.06,131.36,465.52,6.03,20.76,59.36,-99.99,27.61,337.65,-99.99,45.84,81.83,1.6,61.75,13.58,19.94,61.73,21.63,22.3,21.66
192804,125.08,46.21,-99.99,15.17,98.15,12.84,33.27,12.82,27.83,9.01,-99.99,35.98,38.64,119.39,-99.99,10.03,28.09,14.57,72.91,-99.99,43.28,172.17,117.08,23.06,62.51,-99.99,-99.99,46.69,44.51,101.94,139.7,468.84,6.36,20.58,59.64,-99.99,31.07,348.67,-99.99,50.91,86.19,1.73,66.99,13.96,24.16,66.38,22.11,24.91,23.57
192805,124.72,47.61,-99.99,15.81,92.29,12.58,35.38,13.18,28.8,9.88,-99.99,38.02,38.83,118.86,-99.99,9.59,28.9,14.96,73.8,-99.99,44.74,176.32,118.22,37.32,62.52,-99.99,-99.99,46.32,45.03,118.45,154.57,592,6.83,23.36,60.85,-99.99,30.91,354.57,-99.99,50.61,89.81,1.62,66.7,14,26.8,69.59,27.22,27.4,26.16
192806,123.76,48.53,-99.99,16.68,91.82,13.66,35.7,14.65,28.04,9.75,-99.99,39.65,42.96,122.38,-99.99,9.01,28.31,17.92,77.49,-99.99,46.67,179.42,123.72,44.64,60.87,-99.99,-99.99,46.85,45.25,111.11,156.5,631.15,6.55,25.58,60.99,-99.99,31.79,372.26,-99.99,53.53,89.1,1.75,70.88,15.93,26.46,70.11,28.6,28.28,25.7
